Path	Lines of Code
tools/__init__.py	1
tools/_playground.py	37
tools/_test_validation.py	57
tools/activity_monitor.py	35
tools/add_captions_from_file.py	42
tools/add_feed.py	78
tools/add_images_to_articles.py	43
tools/add_ml_assessment_to_recent_articles.py	143
tools/add_videos_and_captions_from_file.py	15
tools/analyze_classroom_recommendations.py	230
tools/anonymize_users.py	77
tools/backfill_cefr_assessments.py	144
tools/cleanup_broken_summaries.py	139
tools/cleanup_empty_broken_articles.py	142
tools/cleanup_empty_exercise_sessions.py	40
tools/cleanup_greek_audio_lessons.py	195
tools/cleanup_summary_formatting.py	61
tools/cleanup_todays_examples.py	41
tools/cleanup_tokenization_cache.py	18
tools/create_article_fragments_and_sources.py	56
tools/delete_article_by_url.py	75
tools/delete_bookmarks_word_not_in_context.py	135
tools/delete_broken_videos_from_ES.py	15
tools/delete_daily_lesson.py	50
tools/delete_dev_users.py	19
tools/delete_duplicate_articles.py	147
tools/delete_portuguese_audio_lessons.py	61
tools/delete_user_deleted_articles.py	58
tools/diagnose_recommendations.py	180
tools/download_feed.py	9
tools/evaluate_infer_topics.py	96
tools/extract_articles_with_new_topics.py	24
tools/extract_validation_for_topics.py	63
tools/feed_health_check.py	38
tools/feed_info.py	16
tools/feeds_for_language.py	21
tools/fix_audio_lesson_teacher_language.py	120
tools/fix_compound_examples.py	246
tools/fix_feed.py	209
tools/fix_long_summaries.py	150
tools/fix_simplified_articles_html.py	115
tools/fix_underscore_examples.py	169
tools/fix_user_over_limit.py	60
tools/generate_audio_lesson.py	22
tools/get_lang_stats.py	122
tools/manual_test_user_report.py	127
tools/mark_broken_articles.py	205
tools/migrate_daily_streak.py	80
tools/mysql_to_elastic_for_articles.py	134
tools/notify_search_subscribers.py	61
tools/precompute_upcoming_meaning_lessons.py	319
tools/prefetch_example_sentences_for_users.py	330
tools/recalculate_all_word_ranks.py	129
tools/recalculate_video_topics.py	10
tools/reclassify_unclassified_phrases.py	206
tools/recompute_fk_difficulties.py	30
tools/reduce_number_of_studied_bookmarks.py	65
tools/regenerate_test_fixture.py	62
tools/remove_sub_bookmarks_from_text.py	89
tools/remove_unreferenced_articles.py	82
tools/remove_wrong_videos.py	32
tools/rename_feed.py	20
tools/run_knn_similarity_search.py	94
tools/set_new_topics_article.py	38
tools/simplify_article.py	251
tools/tag_advertorials.py	179
tools/tokenizer_playground.py	55
tools/tokenizer_script.py	52
tools/transform_text_into_context.py	118
tools/untag_simplified_and_user_articles.py	82
tools/update_article_content.py	78
tools/update_bookmark_pointers.py	185
tools/update_elastic_ids.py	67
tools/update_elastic_with_source_ids.py	43
tools/update_es_available_cefr_levels.py	100
tools/update_es_based_on_url_keyword.py	145
tools/update_meaning_frequencies.py	122
tools/upgrade_to_teacher.py	19
tools/users_recently_active.py	41
tools/validate_and_clean_examples.py	203
tools/validate_scheduled_meanings.py	187
