Path	Lines of Code
tools/migrations/24-01-16--fix-portuguese-language.sql	6
tools/migrations/24-02-rss_to_feed.sql	8
tools/migrations/24-03-26-drop_unique_constraint_from_img_url_id.sql	3
tools/migrations/24-03-add_img_url_to_article.sql	13
tools/migrations/24-03-is_dev_in_users_table.sql	22
tools/migrations/24-04-10--01--add_learning_cycle_column.sql	6
tools/migrations/24-04-22-1-new_topic_table.sql	26
tools/migrations/24-04-22-2-create_topic_keyword.sql	21
tools/migrations/24-04-22-3-new_topic_filter.sql	10
tools/migrations/24-04-22-4-new_topic_subscription.sql	10
tools/migrations/24-04-22-5-article_topic_user_feedback.sql	14
tools/migrations/24-04-23--02--update_learning_cycle_for_existing_users.sql	3
tools/migrations/24-04-24--03--update_learning_cycle_preference_for_all_users.sql	4
tools/migrations/24-05-06--update_cohort_language_to_null_for_testing.sql	1
tools/migrations/24-05-21--add_uuid_to_session.sql	6
tools/migrations/24-05-29--add_user_preference_to_bookmark.sql	12
tools/migrations/24-07-01--add_article_broken_code_map.sql	6
tools/migrations/24-07-24--add_receive_email_column.sql	1
tools/migrations/24-07-26--remove_all_search_subscriptions_and_searches.sql	3
tools/migrations/24-07-30--remove_articles_with_no_publish_time.sql	39
tools/migrations/24-08-15--fix_politikens_titles.sql	21
tools/migrations/24-08-30--user_cohort_map.sql	23
tools/migrations/24-09-24--add_feeback_tables.sql	48
tools/migrations/24-09-24--adding-language-to-search.sql	26
tools/migrations/24-10-23--delete_bookmark_learned.sql	2
tools/migrations/24-11-04--updating-url-keyword-mapping.sql	312
tools/migrations/24-11-12-delete_old_topics.sql	5
tools/migrations/24-11-12-rename_new_topics.sql	58
tools/migrations/24-11-31--add_level_column.sql	6
tools/migrations/24-12-02--add_notification_table.sql	11
tools/migrations/24-12-02--add_user_notification_table.sql	12
tools/migrations/24-12-17--add_article_type.sql	3
tools/migrations/25-01-06--add_index_pointers.sql	40
tools/migrations/25-02-05--add_teacher_language_to_audio_lesson_meaning.sql	4
tools/migrations/25-02-06--add_audio_lesson_generation_progress.sql	14
tools/migrations/25-02-06--adding-cascade-deletes.sql	12
tools/migrations/25-02-28--01-new-content-tables copy.sql	198
tools/migrations/25-02-28--02-add-orphan-context-type.sql	4
tools/migrations/25-02-28--03-update-user-activity-data.sql	18
tools/migrations/25-02-28--04-delete-unused-columns-article.sql	72
tools/migrations/25-02-28--add_video-tables.sql	127
tools/migrations/25-04-03--update-context-type.sql	6
tools/migrations/25-04-16--remove-vtt-from-video.sql	1
tools/migrations/25-05-20--migrate_to_word_meaning.sql	38
tools/migrations/25-05-21--remove_word_form.sql	1
tools/migrations/25-05-21--rename_user_word_to_phrase.sql	7
tools/migrations/25-05-23--removed_learning_cycle_column.sql	2
tools/migrations/25-05-24--adding_the_user_word_table.sql	130
tools/migrations/25-07-01--add_audio_lesson_tables.sql	65
tools/migrations/25-07-08--add_meaning_frequency_and_phrase_type.sql	31
tools/migrations/25-07-09--add_language_to_daily_audio_lesson.sql	9
tools/migrations/25-07-09-a--populate_language_id_for_existing_lessons.sql	29
tools/migrations/25-07-12--add_simplified_content_fields.sql	6
tools/migrations/25-07-16--remove_article_duplicates.sql	103
tools/migrations/25-07-25--add_user_article_completion_tracking.sql	5
tools/migrations/25-07-31--add_generated_example_context.sql	41
tools/migrations/25-07-31--recalculate_multiword_phrase_ranks.py	56
tools/migrations/25-08-02--add_last_seen_to_users.sql	18
tools/migrations/25-08-09--comprehensive_userword_consolidation.py	203
tools/migrations/25-08-09--consolidate_duplicate_meanings.py	118
tools/migrations/25-08-12--add_is_user_added_to_user_word.sql	4
tools/migrations/25-08-13--cleanup_malformed_scroll_data.py	39
tools/migrations/25-08-13--optimize_viewport_data_format.py	78
tools/migrations/25-08-20--fix_ai_generator_foreign_key.sql	8
tools/migrations/25-08-20-b--fix_remaining_ai_models_foreign_keys.sql	8
tools/migrations/25-08-28--add_article_summary_context.sql	11
tools/migrations/25-08-28-a--add_translation_source_to_bookmark.sql	4
