Path	Lines of Code
tools/old/__init__.py	1
tools/old/add_all_cohorts_to_teacher.py	8
tools/old/add_article_id_to_text.py	25
tools/old/add_standard_topics.py	113
tools/old/add_word_rank.py	36
tools/old/article_recommendations.py	22
tools/old/assert_db_anonymized.py	4
tools/old/bookmark_info.py	3
tools/old/cleanup_non_content_bits.py	32
tools/old/consolidate_accounts.py	39
tools/old/es_v8_migration/migrate_old_topics_to_new_topics.py	43
tools/old/es_v8_migration/set_new_topics_from_url_keyword.py	54
tools/old/es_v8_migration/set_topic_mapping_to_keywords.py	23
tools/old/es_v8_migration/set_url_keywords_article.py	42
tools/old/es_v8_migration/url_topics.py	54
tools/old/fix_text_duplications.py	30
tools/old/flatten_unicode_characters.py	31
tools/old/forget_user.py	20
tools/old/learner_stats.py	51
tools/old/mysql_to_elastic.py	50
tools/old/recompute_fk_difficulties_for_polish.py	15
tools/old/remove_text_duplicates.py	37
tools/old/remove_unreferenced_articles.py	89
tools/old/tag_existing_articles.py	25
tools/old/tag_topics_in_danish.py	35
tools/old/update_feed.py	16
tools/old/update_particular_tag.py	35
