Path	Lines of Code
zeeguu/core/__init__.py	1
zeeguu/core/account_management/__init__.py	1
zeeguu/core/account_management/user_account_creation.py	169
zeeguu/core/account_management/user_account_deletion.py	152
zeeguu/core/audio_lessons/__init__.py	1
zeeguu/core/audio_lessons/azure_voice_synthesizer.py	51
zeeguu/core/audio_lessons/daily_lesson_generator.py	711
zeeguu/core/audio_lessons/lesson_builder.py	336
zeeguu/core/audio_lessons/script_generator.py	75
zeeguu/core/audio_lessons/suggestion_validator.py	36
zeeguu/core/audio_lessons/voice_config.py	103
zeeguu/core/audio_lessons/voice_synthesizer.py	202
zeeguu/core/audio_lessons/word_selector.py	179
zeeguu/core/badges/__init__.py	1
zeeguu/core/badges/badge_progress.py	65
zeeguu/core/badges/listeners.py	66
zeeguu/core/behavioral_modeling/__init__.py	4
zeeguu/core/behavioral_modeling/scroll_last_reading_percentage.py	28
zeeguu/core/bookmark_operations/__init__.py	1
zeeguu/core/bookmark_operations/update_bookmark.py	219
zeeguu/core/bookmark_quality/__init__.py	2
zeeguu/core/bookmark_quality/fit_for_study.py	19
zeeguu/core/bookmark_quality/negative_qualities.py	80
zeeguu/core/bookmark_quality/positive_qualities.py	3
zeeguu/core/constants.py	78
zeeguu/core/content_cleaning/__init__.py	13
zeeguu/core/content_cleaning/content_cleaner.py	140
zeeguu/core/content_cleaning/unicode_normalization.py	5
zeeguu/core/content_quality/__init__.py	1
zeeguu/core/content_quality/advertorial_detection.py	51
zeeguu/core/content_quality/disturbing_content_detection.py	140
zeeguu/core/content_quality/quality_filter.py	115
zeeguu/core/content_recommender/__init__.py	8
zeeguu/core/content_recommender/elastic_recommender.py	364
zeeguu/core/content_retriever/__init__.py	10
zeeguu/core/content_retriever/article_downloader.py	585
zeeguu/core/content_retriever/crawler_exceptions.py	15
zeeguu/core/content_retriever/parse_with_newspaper.py	22
zeeguu/core/content_retriever/parse_with_readability_server.py	74
zeeguu/core/content_retriever/video_dowloader.py	30
zeeguu/core/crowd_translations/__init__.py	16
zeeguu/core/elastic/__init__.py	1
zeeguu/core/elastic/basic_ops.py	31
zeeguu/core/elastic/elastic_query_builder.py	359
zeeguu/core/elastic/indexing.py	200
zeeguu/core/elastic/settings.py	3
zeeguu/core/emailer/__init__.py	1
zeeguu/core/emailer/email_confirmation.py	12
zeeguu/core/emailer/password_reset.py	12
zeeguu/core/emailer/user_activity.py	70
zeeguu/core/emailer/zeeguu_mailer.py	131
zeeguu/core/events/__init__.py	9
zeeguu/core/exercises/__init__.py	1
zeeguu/core/exercises/similar_words.py	23
zeeguu/core/feed_handler/__init__.py	10
zeeguu/core/feed_handler/feed_handler.py	17
zeeguu/core/feed_handler/newspaperfeed.py	112
zeeguu/core/feed_handler/rssfeed.py	55
zeeguu/core/friends/__init__.py	1
zeeguu/core/friends/friend_streak.py	48
zeeguu/core/friends/listeners.py	10
zeeguu/core/language/__init__.py	1
zeeguu/core/language/difficulty_estimator_factory.py	23
zeeguu/core/language/difficulty_estimator_strategy.py	16
zeeguu/core/language/fk_to_cefr.py	13
zeeguu/core/language/ml_cefr_classifier.py	130
zeeguu/core/language/services/lingo_rank_service.py	7
zeeguu/core/language/strategies/__init__.py	1
zeeguu/core/language/strategies/default_difficulty_estimator.py	20
zeeguu/core/language/strategies/flesch_kincaid_difficulty_estimator.py	118
zeeguu/core/language/strategies/frequency_difficulty_estimator.py	71
zeeguu/core/language/strategies/word_rank_difficulty_estimator.py	78
zeeguu/core/leaderboards/__init__.py	1
zeeguu/core/leaderboards/leaderboards.py	201
zeeguu/core/llm_services/__init__.py	7
zeeguu/core/llm_services/anthropic_service.py	68
zeeguu/core/llm_services/deepseek_service.py	80
zeeguu/core/llm_services/grammar_correction_service.py	133
zeeguu/core/llm_services/llm_service.py	93
zeeguu/core/llm_services/mwe_translation_service.py	87
zeeguu/core/llm_services/prompts/__init__.py	13
zeeguu/core/llm_services/prompts/article_simplification.py	4
zeeguu/core/llm_services/prompts/example_generation.py	37
zeeguu/core/llm_services/prompts/grammar_correction.py	4
zeeguu/core/llm_services/prompts/learning_card_generator.py	44
zeeguu/core/llm_services/prompts/meaning_frequency_classifier.py	18
zeeguu/core/llm_services/prompts/translation_validator.py	25
zeeguu/core/llm_services/simplification_and_classification.py	654
zeeguu/core/llm_services/simplification_service.py	528
zeeguu/core/llm_services/translation_validator.py	185
zeeguu/core/llm_services/validation_service.py	196
zeeguu/core/ml_models/__init__.py	5
zeeguu/core/ml_models/paywall_detector.py	9
zeeguu/core/ml_models/utils.py	15
zeeguu/core/model/__init__.py	87
zeeguu/core/model/ai_generator.py	37
zeeguu/core/model/article.py	1133
zeeguu/core/model/article_broken_code_map.py	46
zeeguu/core/model/article_cefr_assessment.py	97
zeeguu/core/model/article_classification.py	59
zeeguu/core/model/article_difficulty_feedback.py	57
zeeguu/core/model/article_fragment.py	68
zeeguu/core/model/article_fragment_context.py	54
zeeguu/core/model/article_summary_context.py	60
zeeguu/core/model/article_title_context.py	60
zeeguu/core/model/article_tokenization_cache.py	65
zeeguu/core/model/article_topic_map.py	52
zeeguu/core/model/article_topic_user_feedback.py	74
zeeguu/core/model/article_upload.py	98
zeeguu/core/model/article_url_keyword_map.py	11
zeeguu/core/model/audio_lesson_dialogue.py	86
zeeguu/core/model/audio_lesson_generation_progress.py	117
zeeguu/core/model/audio_lesson_meaning.py	52
zeeguu/core/model/badge.py	20
zeeguu/core/model/badge_category.py	29
zeeguu/core/model/bookmark.py	443
zeeguu/core/model/bookmark_context.py	145
zeeguu/core/model/bookmark_user_preference.py	15
zeeguu/core/model/caption.py	39
zeeguu/core/model/cohort.py	76
zeeguu/core/model/cohort_article_map.py	60
zeeguu/core/model/context_identifier.py	107
zeeguu/core/model/context_type.py	72
zeeguu/core/model/daily_audio_lesson.py	127
zeeguu/core/model/daily_audio_lesson_segment.py	51
zeeguu/core/model/daily_audio_lesson_wrapper.py	26
zeeguu/core/model/db.py	3
zeeguu/core/model/difficulty_lingo_rank.py	21
zeeguu/core/model/domain_name.py	59
zeeguu/core/model/example_sentence.py	125
zeeguu/core/model/example_sentence_context.py	57
zeeguu/core/model/exercise.py	63
zeeguu/core/model/exercise_outcome.py	66
zeeguu/core/model/exercise_report.py	67
zeeguu/core/model/exercise_source.py	27
zeeguu/core/model/feed.py	205
zeeguu/core/model/feedback_component.py	44
zeeguu/core/model/friend_request.py	118
zeeguu/core/model/friendship.py	163
zeeguu/core/model/grammar_correction_log.py	100
zeeguu/core/model/language.py	201
zeeguu/core/model/meaning.py	193
zeeguu/core/model/meaning_frequency_classifier.py	149
zeeguu/core/model/meaning_report.py	40
zeeguu/core/model/monthly_active_users_cache.py	35
zeeguu/core/model/monthly_activity_stats_cache.py	44
zeeguu/core/model/new_text.py	59
zeeguu/core/model/notification.py	30
zeeguu/core/model/personal_copy.py	56
zeeguu/core/model/phrase.py	151
zeeguu/core/model/search.py	57
zeeguu/core/model/search_filter.py	54
zeeguu/core/model/search_subscription.py	65
zeeguu/core/model/session.py	44
zeeguu/core/model/sorted_exercise_log.py	45
zeeguu/core/model/source.py	68
zeeguu/core/model/source_text.py	61
zeeguu/core/model/source_type.py	32
zeeguu/core/model/starred_article.py	74
zeeguu/core/model/teacher.py	24
zeeguu/core/model/teacher_cohort_map.py	39
zeeguu/core/model/text.py	158
zeeguu/core/model/topic.py	89
zeeguu/core/model/topic_filter.py	45
zeeguu/core/model/topic_subscription.py	44
zeeguu/core/model/translation_search.py	46
zeeguu/core/model/unique_code.py	31
zeeguu/core/model/url.py	119
zeeguu/core/model/url_keyword.py	129
zeeguu/core/model/user.py	1006
zeeguu/core/model/user_activitiy_data.py	367
zeeguu/core/model/user_article.py	444
zeeguu/core/model/user_article_broken_report.py	81
zeeguu/core/model/user_avatar.py	43
zeeguu/core/model/user_badge.py	56
zeeguu/core/model/user_badge_progress.py	70
zeeguu/core/model/user_browsing_session.py	93
zeeguu/core/model/user_cohort_map.py	12
zeeguu/core/model/user_exercise_session.py	76
zeeguu/core/model/user_feedback.py	52
zeeguu/core/model/user_language.py	125
zeeguu/core/model/user_listening_session.py	93
zeeguu/core/model/user_mwe_override.py	58
zeeguu/core/model/user_notification.py	45
zeeguu/core/model/user_preference.py	132
zeeguu/core/model/user_reading_session.py	156
zeeguu/core/model/user_video.py	143
zeeguu/core/model/user_watching_session.py	127
zeeguu/core/model/user_word.py	321
zeeguu/core/model/user_word_interaction_history.py	24
zeeguu/core/model/validation_log.py	91
zeeguu/core/model/video.py	246
zeeguu/core/model/video_caption_context.py	60
zeeguu/core/model/video_tag.py	29
zeeguu/core/model/video_tag_map.py	28
zeeguu/core/model/video_title_context.py	57
zeeguu/core/model/video_topic_map.py	24
zeeguu/core/model/yt_channel.py	89
zeeguu/core/mwe/__init__.py	10
zeeguu/core/mwe/enricher.py	74
zeeguu/core/mwe/llm_mwe_detector.py	282
zeeguu/core/mwe/stanza_mwe_detector.py	318
zeeguu/core/nlp_pipeline/__init__.py	19
zeeguu/core/nlp_pipeline/alignment_errant.py	115
zeeguu/core/nlp_pipeline/automatic_gec_tagging.py	367
zeeguu/core/nlp_pipeline/confusion_generator.py	141
zeeguu/core/nlp_pipeline/edit_errant.py	36
zeeguu/core/nlp_pipeline/reduce_context.py	67
zeeguu/core/nlp_pipeline/spacy_wrapper.py	60
zeeguu/core/reading_analysis/macro_reading_session.py	47
zeeguu/core/semantic_search/__init__.py	7
zeeguu/core/semantic_search/elastic_semantic_search.py	124
zeeguu/core/semantic_vector_api/__init__.py	6
zeeguu/core/semantic_vector_api/retrieve_embeddings.py	38
zeeguu/core/sql/__init__.py	1
zeeguu/core/sql/learner/__init__.py	1
zeeguu/core/sql/learner/exercises_history.py	46
zeeguu/core/sql/learner/words.py	33
zeeguu/core/sql/queries/query_loader.py	8
zeeguu/core/sql/queries/words_to_study.sql	27
zeeguu/core/sql/query_building.py	12
zeeguu/core/sql/teacher/__init__.py	1
zeeguu/core/sql/teacher/teachers_for_cohort.py	7
zeeguu/core/tokenization/__init__.py	27
zeeguu/core/tokenization/nltk_tokenizer.py	132
zeeguu/core/tokenization/stanza_client.py	146
zeeguu/core/tokenization/stanza_tokenizer.py	141
zeeguu/core/tokenization/token.py	86
zeeguu/core/tokenization/word_position_finder.py	147
zeeguu/core/tokenization/zeeguu_tokenizer.py	38
zeeguu/core/translation_services/__init__.py	7
zeeguu/core/translation_services/azure_alignment.py	113
zeeguu/core/translation_services/translator.py	471
zeeguu/core/user_activity_hooks/__init__.py	1
zeeguu/core/user_activity_hooks/article_interaction_hooks.py	69
zeeguu/core/user_feature_toggles.py	74
zeeguu/core/user_statistics/__init__.py	1
zeeguu/core/user_statistics/activity.py	49
zeeguu/core/user_statistics/exercise_corectness.py	68
zeeguu/core/user_statistics/exercise_sessions.py	28
zeeguu/core/user_statistics/reading_sessions.py	57
zeeguu/core/user_statistics/student_overview.py	35
zeeguu/core/util/__init__.py	7
zeeguu/core/util/compute_fk_word_count.py	18
zeeguu/core/util/encoding.py	16
zeeguu/core/util/hash.py	29
zeeguu/core/util/list.py	8
zeeguu/core/util/reading_time_estimator.py	3
zeeguu/core/util/text.py	49
zeeguu/core/util/time.py	31
zeeguu/core/util/time_conversion.py	2
zeeguu/core/util/timer_logging_decorator.py	12
zeeguu/core/utils/__init__.py	1
zeeguu/core/utils/caching.py	16
zeeguu/core/word_filter/__init__.py	6
zeeguu/core/word_filter/profanity_filter.py	15
zeeguu/core/word_filter/proper_noun_filter.py	13
zeeguu/core/word_scheduling/__init__.py	5
zeeguu/core/word_scheduling/basicSR/__init__.py	1
zeeguu/core/word_scheduling/basicSR/basicSR.py	272
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	80
zeeguu/core/word_stats/__init__.py	7
zeeguu/core/youtube_api/youtube_api.py	276
