path	# lines of code
stanza_service/install_models.py	34
stanza_service/gunicorn.conf.py	16
stanza_service/app.py	312
zeeguu/core/user_activity_hooks/article_interaction_hooks.py	69
zeeguu/core/user_activity_hooks/__init__.py	1
zeeguu/core/account_management/__init__.py	1
zeeguu/core/account_management/user_account_creation.py	169
zeeguu/core/account_management/user_account_deletion.py	152
zeeguu/core/bookmark_operations/__init__.py	1
zeeguu/core/bookmark_operations/update_bookmark.py	219
zeeguu/core/word_filter/proper_noun_filter.py	13
zeeguu/core/word_filter/__init__.py	6
zeeguu/core/word_filter/profanity_filter.py	15
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	80
zeeguu/core/word_scheduling/basicSR/__init__.py	1
zeeguu/core/word_scheduling/basicSR/basicSR.py	272
zeeguu/core/word_scheduling/__init__.py	5
zeeguu/core/behavioral_modeling/__init__.py	4
zeeguu/core/behavioral_modeling/scroll_last_reading_percentage.py	28
zeeguu/core/util/time.py	31
zeeguu/core/util/reading_time_estimator.py	3
zeeguu/core/util/encoding.py	16
zeeguu/core/util/list.py	8
zeeguu/core/util/timer_logging_decorator.py	12
zeeguu/core/util/__init__.py	7
zeeguu/core/util/hash.py	29
zeeguu/core/util/compute_fk_word_count.py	18
zeeguu/core/util/text.py	49
zeeguu/core/util/time_conversion.py	2
zeeguu/core/elastic/elastic_query_builder.py	359
zeeguu/core/elastic/__init__.py	1
zeeguu/core/elastic/settings.py	3
zeeguu/core/elastic/basic_ops.py	31
zeeguu/core/elastic/indexing.py	200
zeeguu/core/word_stats/__init__.py	7
zeeguu/core/audio_lessons/voice_synthesizer.py	202
zeeguu/core/audio_lessons/script_generator.py	75
zeeguu/core/audio_lessons/suggestion_validator.py	36
zeeguu/core/audio_lessons/daily_lesson_generator.py	711
zeeguu/core/audio_lessons/lesson_builder.py	336
zeeguu/core/audio_lessons/word_selector.py	179
zeeguu/core/audio_lessons/__init__.py	1
zeeguu/core/audio_lessons/azure_voice_synthesizer.py	51
zeeguu/core/audio_lessons/voice_config.py	103
zeeguu/core/constants.py	78
zeeguu/core/content_recommender/__init__.py	8
zeeguu/core/content_recommender/elastic_recommender.py	364
zeeguu/core/content_quality/advertorial_detection.py	51
zeeguu/core/content_quality/__init__.py	1
zeeguu/core/content_quality/quality_filter.py	115
zeeguu/core/content_quality/disturbing_content_detection.py	140
zeeguu/core/__init__.py	1
zeeguu/core/content_retriever/parse_with_newspaper.py	22
zeeguu/core/content_retriever/crawler_exceptions.py	15
zeeguu/core/content_retriever/__init__.py	10
zeeguu/core/content_retriever/parse_with_readability_server.py	74
zeeguu/core/content_retriever/video_dowloader.py	30
zeeguu/core/content_retriever/article_downloader.py	585
zeeguu/core/utils/__init__.py	1
zeeguu/core/utils/caching.py	16
zeeguu/core/language/strategies/word_rank_difficulty_estimator.py	78
zeeguu/core/language/strategies/flesch_kincaid_difficulty_estimator.py	118
zeeguu/core/language/strategies/__init__.py	1
zeeguu/core/language/strategies/default_difficulty_estimator.py	20
zeeguu/core/language/strategies/frequency_difficulty_estimator.py	71
zeeguu/core/language/__init__.py	1
zeeguu/core/language/difficulty_estimator_factory.py	23
zeeguu/core/language/ml_cefr_classifier.py	130
zeeguu/core/language/fk_to_cefr.py	13
zeeguu/core/language/difficulty_estimator_strategy.py	16
zeeguu/core/language/services/lingo_rank_service.py	7
zeeguu/core/tokenization/token.py	86
zeeguu/core/tokenization/stanza_client.py	146
zeeguu/core/tokenization/nltk_tokenizer.py	132
zeeguu/core/tokenization/word_position_finder.py	147
zeeguu/core/tokenization/zeeguu_tokenizer.py	38
zeeguu/core/tokenization/__init__.py	27
zeeguu/core/tokenization/stanza_tokenizer.py	141
zeeguu/core/semantic_vector_api/retrieve_embeddings.py	38
zeeguu/core/semantic_vector_api/__init__.py	6
zeeguu/core/exercises/__init__.py	1
zeeguu/core/exercises/similar_words.py	23
zeeguu/core/user_feature_toggles.py	74
zeeguu/core/user_statistics/exercise_corectness.py	68
zeeguu/core/user_statistics/exercise_sessions.py	28
zeeguu/core/user_statistics/student_overview.py	35
zeeguu/core/user_statistics/reading_sessions.py	57
zeeguu/core/user_statistics/activity.py	49
zeeguu/core/user_statistics/__init__.py	1
zeeguu/core/model/starred_article.py	74
zeeguu/core/model/user_word_interaction_history.py	24
zeeguu/core/model/user_article_broken_report.py	81
zeeguu/core/model/db.py	3
zeeguu/core/model/user.py	1006
zeeguu/core/model/article_cefr_assessment.py	97
zeeguu/core/model/user_language.py	125
zeeguu/core/model/article_topic_user_feedback.py	74
zeeguu/core/model/url_keyword.py	129
zeeguu/core/model/user_cohort_map.py	12
zeeguu/core/model/teacher.py	24
zeeguu/core/model/article_summary_context.py	60
