Metric		Current
TOTAL_NUMBER_OF_FILES		901
NUMBER_OF_FILES_MAIN		650
LINES_OF_CODE_MAIN		58,313
NUMBER_OF_FILES_MAIN_EXT_PY		505
LINES_OF_CODE_MAIN_EXT_PY		47,129
NUMBER_OF_FILES_MAIN_EXT_IPYNB		2
LINES_OF_CODE_MAIN_EXT_IPYNB		8,654
NUMBER_OF_FILES_MAIN_EXT_SQL		136
LINES_OF_CODE_MAIN_EXT_SQL		2,427
NUMBER_OF_FILES_MAIN_EXT_CFG		5
LINES_OF_CODE_MAIN_EXT_CFG		64
NUMBER_OF_FILES_MAIN_EXT_TOML		1
LINES_OF_CODE_MAIN_EXT_TOML		38
NUMBER_OF_FILES_MAIN_EXT_IN		1
LINES_OF_CODE_MAIN_EXT_IN		1
NUMBER_OF_FILES_TEST		80
LINES_OF_CODE_TEST		7,282
NUMBER_OF_FILES_TEST_EXT_PY		75
LINES_OF_CODE_TEST_EXT_PY		3,904
NUMBER_OF_FILES_TEST_EXT_HTML		1
LINES_OF_CODE_TEST_EXT_HTML		3,320
NUMBER_OF_FILES_TEST_EXT_RSS		1
LINES_OF_CODE_TEST_EXT_RSS		34
NUMBER_OF_FILES_TEST_EXT_SH		3
LINES_OF_CODE_TEST_EXT_SH		24
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		12.48
NUMBER_OF_FILES_GENERATED		0
LINES_OF_CODE_GENERATED		0
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		14
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		249
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT_EXT_SH		14
LINES_OF_CODE_BUILD_AND_DEPLOYMENT_EXT_SH		249
NUMBER_OF_FILES_OTHER		59
LINES_OF_CODE_OTHER		8,369
NUMBER_OF_FILES_OTHER_EXT_JSON		9
LINES_OF_CODE_OTHER_EXT_JSON		4,148
NUMBER_OF_FILES_OTHER_EXT_MD		29
LINES_OF_CODE_OTHER_EXT_MD		3,413
NUMBER_OF_FILES_OTHER_EXT_TXT		20
LINES_OF_CODE_OTHER_EXT_TXT		745
NUMBER_OF_FILES_OTHER_EXT_SVG		1
LINES_OF_CODE_OTHER_EXT_SVG		63
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_STANZA_SERVICE		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_STANZA_SERVICE		362
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_STANZA_SERVICE_EXT_PY		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_STANZA_SERVICE_EXT_PY		362
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ZEEGUU		351
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ZEEGUU		38,002
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ZEEGUU_EXT_PY		349
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ZEEGUU_EXT_PY		33,648
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ZEEGUU_EXT_IPYNB		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ZEEGUU_EXT_IPYNB		4,327
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ZEEGUU_EXT_SQL		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ZEEGUU_EXT_SQL		27
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_TOOLS		285
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TOOLS		19,746
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_TOOLS_EXT_PY		149
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TOOLS_EXT_PY		13,019
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_TOOLS_EXT_IPYNB		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TOOLS_EXT_IPYNB		4,327
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_TOOLS_EXT_SQL		135
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TOOLS_EXT_SQL		2,400
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT		11
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT		203
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_PY		4
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_PY		100
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_CFG		5
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_CFG		64
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_TOML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_TOML		38
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_IN		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_IN		1
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		0
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS		19
LINES_OF_CODE_CONCERN_GENERAL_TODOS		4,482
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS_EXT_PY		18
LINES_OF_CODE_CONCERN_GENERAL_TODOS_EXT_PY		4,352
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS_EXT_SQL		1
LINES_OF_CODE_CONCERN_GENERAL_TODOS_EXT_SQL		130
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED		631
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED		53,831
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_PY		487
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_PY		42,777
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_IPYNB		2
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_IPYNB		8,654
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_SQL		135
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_SQL		2,297
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_CFG		5
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_CFG		64
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_TOML		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_TOML		38
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_IN		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_IN		1
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		497
LOW_RISK_FILE_SIZE_COUNT		95
MEDIUM_RISK_FILE_SIZE_COUNT		45
HIGH_RISK_FILE_SIZE_COUNT		8
VERY_HIGH_RISK_FILE_SIZE_COUNT		5
