Metric		Current
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		15,198
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		6,831
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		5,713
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		2,253
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		410
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		2,663
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_NEGLIGIBLE_RISK_LOC		122
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_LOW_RISK_LOC		78
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_MEDIUM_RISK_LOC		91
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_NEGLIGIBLE_RISK_LOC		12,234
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_LOW_RISK_LOC		4,271
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_MEDIUM_RISK_LOC		3,607
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_HIGH_RISK_LOC		1,410
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_VERY_HIGH_RISK_LOC		410
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_NEGLIGIBLE_RISK_LOC		2,821
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_LOW_RISK_LOC		2,458
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_MEDIUM_RISK_LOC		2,015
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_HIGH_RISK_LOC		843
CONDITIONAL_COMPLEXITY_COMPONENT_TOOLS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_LOC		21
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_LOC		24
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PY_NEGLIGIBLE_RISK_LOC		15,198
CONDITIONAL_COMPLEXITY_COMPONENT_PY_LOW_RISK_LOC		6,831
CONDITIONAL_COMPLEXITY_COMPONENT_PY_MEDIUM_RISK_LOC		5,713
CONDITIONAL_COMPLEXITY_COMPONENT_PY_HIGH_RISK_LOC		2,253
CONDITIONAL_COMPLEXITY_COMPONENT_PY_VERY_HIGH_RISK_LOC		410
