Metric		Current
LINES_OF_CODE_DECOMPOSITION_PRIMARY_STANZA_SERVICE		362
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ZEEGUU_CORE		23,538
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ZEEGUU_CONFIG		51
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ZEEGUU		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ZEEGUU_OPERATIONS		5,694
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ZEEGUU_API		8,693
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ZEEGUU_CL		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ZEEGUU_LOGGING		22
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TOOLS_ONE_TIME		234
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TOOLS		7,854
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TOOLS_MIGRATIONS		3,089
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TOOLS_CRAWLER		644
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TOOLS_OLD		933
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TOOLS_AUDIO_ENGLEZA		435
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TOOLS_ML		384
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TOOLS_USER_WORD_INTEGRITY		710
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TOOLS_REPORT_GENERATOR		5,079
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TOOLS_STIRI_SIMPLE		291
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TOOLS_SQL		93
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT		203
