file 1	file 2	# same commits	# commits file 1	# commits file 2
zeeguu/api/endpoints/friends.py	zeeguu/api/endpoints/user.py	13	85	101
zeeguu/core/model/friend_request.py	tools/migrations/26-02-24-friendship_system.sql	13	43	35
zeeguu/api/endpoints/friends.py	tools/migrations/26-02-24-friendship_system.sql	13	85	35
zeeguu/core/model/friend_request.py	zeeguu/api/endpoints/friends.py	13	43	85
zeeguu/core/model/__init__.py	zeeguu/core/account_management/user_account_deletion.py	12	127	26
zeeguu/core/badges/listeners.py	zeeguu/api/endpoints/badges.py	12	21	53
zeeguu/core/badges/listeners.py	tools/migrations/26-02-24-friendship_system.sql	11	21	35
zeeguu/api/endpoints/daily_streak.py	zeeguu/api/endpoints/user.py	11	58	101
zeeguu/api/endpoints/daily_streak.py	zeeguu/api/endpoints/badges.py	11	58	53
zeeguu/core/model/friend_request.py	zeeguu/core/badges/listeners.py	11	43	21
tools/migrations/26-02-24-b--add_username.py	zeeguu/core/model/user.py	10	16	206
zeeguu/core/account_management/user_account_deletion.py	zeeguu/api/endpoints/badges.py	10	26	53
zeeguu/api/endpoints/friends.py	zeeguu/api/endpoints/daily_streak.py	10	85	58
zeeguu/api/endpoints/friends.py	zeeguu/api/endpoints/badges.py	10	85	53
zeeguu/core/model/__init__.py	zeeguu/api/endpoints/badges.py	10	127	53
zeeguu/api/endpoints/user.py	zeeguu/api/endpoints/badges.py	10	101	53
zeeguu/core/friends/listeners.py	zeeguu/core/badges/listeners.py	10	13	21
zeeguu/core/badges/listeners.py	zeeguu/core/badges/badge_progress.py	10	21	26
zeeguu/core/badges/listeners.py	zeeguu/api/endpoints/friends.py	10	21	85
zeeguu/core/model/user_language.py	zeeguu/api/endpoints/friends.py	10	60	85
zeeguu/core/model/__init__.py	zeeguu/core/badges/listeners.py	10	127	21
zeeguu/core/badges/listeners.py	zeeguu/core/account_management/user_account_deletion.py	10	21	26
tools/migrations/26-02-19-b--insert_default_badges.sql	tools/migrations/26-02-19-a--add_badges.sql	10	11	10
zeeguu/core/friends/listeners.py	zeeguu/api/endpoints/friends.py	9	13	85
zeeguu/core/leaderboards/leaderboards.py	tools/migrations/26-02-24-friendship_system.sql	9	16	35
tools/migrations/26-02-24-friendship_system.sql	zeeguu/api/endpoints/user.py	9	35	101
